TD Number,Previous TD Number,PIN,Owner Name,Address,Barangay,Property Class,Lot Area Sqm,Market Value,Assessed Value,Last Paid Year,Delinquency Start Year,Parcel Origin Year
17-23001-00001,,024-01-001-01-001,Pilot Owner 01,Pilot Address 01,Rizal (Poblacion),Residential,101,401000,80100,2024,2025,2020
17-23002-00002,,024-02-002-01-002,Pilot Owner 02,Pilot Address 02,Aguinaldo,Agricultural,102,402000,80200,2024,2025,2020
17-23003-00003,,024-03-003-01-003,Pilot Owner 03,Pilot Address 03,Berang,Dwell House,103,403000,80300,2024,2025,2020
17-23004-00004,,024-04-004-01-004,Pilot Owner 04,Pilot Address 04,Burgos,Industrial,104,404000,80400,2024,2025,2020
17-23005-00005,,024-05-005-01-005,Pilot Owner 05,Pilot Address 05,Cojuangco (Poblacion),Machinery,105,405000,80500,2024,2025,2020
17-23006-00006,,024-06-006-01-006,Pilot Owner 06,Pilot Address 06,Del Pilar,Residential,106,406000,80600,2024,2025,2020
17-23007-00007,,024-07-007-01-007,Pilot Owner 07,Pilot Address 07,Gomez,Agricultural,107,407000,80700,2024,2025,2020
17-23008-00008,,024-08-008-01-008,Pilot Owner 08,Pilot Address 08,Inspector,Dwell House,108,408000,80800,2024,2025,2020
17-23009-00009,,024-09-009-01-009,Pilot Owner 09,Pilot Address 09,Isla,Industrial,109,409000,80900,2024,2025,2020
17-23010-00010,,024-10-010-01-010,Pilot Owner 10,Pilot Address 10,La Fuente,Machinery,110,410000,81000,2024,2025,2020
17-23011-00011,,024-11-011-01-011,Pilot Owner 11,Pilot Address 11,Liwayway,Residential,111,411000,81100,2024,2025,2020
17-23012-00012,,024-12-012-01-012,Pilot Owner 12,Pilot Address 12,Lourdes,Agricultural,112,412000,81200,2024,2025,2020
17-23013-00013,,024-13-013-01-013,Pilot Owner 13,Pilot Address 13,Luna,Dwell House,113,413000,81300,2024,2025,2020
17-23014-00014,,024-14-014-01-014,Pilot Owner 14,Pilot Address 14,Mabini,Industrial,114,414000,81400,2024,2025,2020
17-23015-00015,,024-15-015-01-015,Pilot Owner 15,Pilot Address 15,Malacañang,Machinery,115,415000,81500,2024,2025,2020
17-23016-00016,,024-16-016-01-016,Pilot Owner 16,Pilot Address 16,Maliolio,Residential,116,416000,81600,2024,2025,2020
17-23017-00017,,024-17-017-01-017,Pilot Owner 17,Pilot Address 17,Mapalad,Agricultural,117,417000,81700,2024,2025,2020
17-23018-00018,,024-18-018-01-018,Pilot Owner 18,Pilot Address 18,Rajal Centro,Dwell House,118,418000,81800,2024,2025,2020
17-23019-00019,,024-19-019-01-019,Pilot Owner 19,Pilot Address 19,Rajal Norte,Industrial,119,419000,81900,2024,2025,2020
17-23020-00020,,024-20-020-01-020,Pilot Owner 20,Pilot Address 20,Rajal Sur,Machinery,120,420000,82000,2024,2025,2020
17-23021-00021,,024-21-021-01-021,Pilot Owner 21,Pilot Address 21,San Gregorio,Residential,121,421000,82100,2024,2025,2020
17-23022-00022,,024-22-022-01-022,Pilot Owner 22,Pilot Address 22,San Isidro,Agricultural,122,422000,82200,2024,2025,2020
17-23023-00023,,024-23-023-01-023,Pilot Owner 23,Pilot Address 23,San Joseph,Dwell House,123,423000,82300,2024,2025,2020
17-23024-00024,,024-24-024-01-024,Pilot Owner 24,Pilot Address 24,San Mariano,Industrial,124,424000,82400,2024,2025,2020
17-23025-00025,,024-25-025-01-025,Pilot Owner 25,Pilot Address 25,San Pedro,Machinery,125,425000,82500,2024,2025,2020
17-23026-00026,,024-26-026-01-026,Pilot Owner 26,Pilot Address 26,Santa Teresita,Residential,126,426000,82600,2024,2025,2020
17-23027-00027,,024-27-027-01-027,Pilot Owner 27,Pilot Address 27,Santo Rosario,Agricultural,127,427000,82700,2024,2025,2020
17-23028-00028,,024-28-028-01-028,Pilot Owner 28,Pilot Address 28,Sapsap,Dwell House,128,428000,82800,2024,2025,2020
17-23029-00029,,024-29-029-01-029,Pilot Owner 29,Pilot Address 29,Soledad,Industrial,129,429000,82900,2024,2025,2020
17-23030-00030,,024-30-030-01-030,Pilot Owner 30,Pilot Address 30,Tagpos,Machinery,130,430000,83000,2024,2025,2020
17-23031-00031,,024-31-031-01-031,Pilot Owner 31,Pilot Address 31,Tramo,Residential,131,431000,83100,2024,2025,2020
17-23032-00032,,024-32-032-01-032,Pilot Owner 32,Pilot Address 32,Valenzuela (Poblacion),Agricultural,132,432000,83200,2024,2025,2020
17-23033-00033,,024-33-033-01-033,Pilot Owner 33,Pilot Address 33,Zamora (Poblacion),Dwell House,133,433000,83300,2024,2025,2020
